match_id,competition,venue,home_team,away_team,innings,toss_winner,toss_decision,innings_total,pp_runs,middle_runs,death_runs,winner,collected_at
69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,174,45,76,51,,2026-03-29T11:33:17.115437+00:00
69479,psl,Gaddafi Stadium,Lahore Qalandars,Karachi Kings,1,,,128,42,64,19,,2026-03-29T15:58:45.247513+00:00
69481,psl,Gaddafi Stadium,Multan Sultans,Hyderabad Kingsmen,1,,,225,74,90,61,,2026-04-01T15:55:51.838747+00:00
69482,psl,Gaddafi Stadium,Islamabad United,Quetta Gladiators,1,,,183,60,49,74,,2026-04-02T11:20:19.761717+00:00
69483,psl,Gaddafi Stadium,Rawalpindiz,Karachi Kings,1,,,197,55,81,52,,2026-04-02T15:51:53.706778+00:00
69484,psl,Gaddafi Stadium,Multan Sultans,Lahore Qalandars,1,,,185,97,81,0,,2026-04-03T17:11:20.573719+00:00
69485,psl,Gaddafi Stadium,Rawalpindiz,Islamabad United,1,,,156,35,61,57,,2026-04-04T16:39:05.718281+00:00
69486,psl,Gaddafi Stadium,Multan Sultans,Quetta Gladiators,1,,,166,47,61,57,,2026-04-05T15:45:32.476908+00:00
69487,psl,Gaddafi Stadium,Multan Sultans,Rawalpindiz,1,,,182,52,76,53,,2026-04-06T15:59:57.484896+00:00
69488,psl,National Stadium,Hyderabad Kingsmen,Peshawar Zalmi,1,,,145,47,64,26,,2026-04-08T15:46:28.131176+00:00
69489,psl,National Stadium,Lahore Qalandars,Islamabad United,1,,,100,28,52,12,,2026-04-09T11:19:33.589084+00:00
69490,psl,National Stadium,Karachi Kings,Peshawar Zalmi,1,,,246,66,104,75,,2026-04-09T15:51:27.190166+00:00
69492,psl,National Stadium,Peshawar Zalmi,Lahore Qalandars,1,,,173,49,77,45,,2026-04-11T11:30:05.507723+00:00
69519,ipl,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,1,,,220,77,88,53,,2026-03-29T16:01:12.519868+00:00
69520,ipl,Barsapara Cricket Stadium,Rajasthan Royals,Chennai Super Kings,1,,,127,36,51,31,,2026-03-30T16:06:03.882060+00:00
69521,ipl,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Gujarat Titans,1,,,162,54,72,34,,2026-03-31T16:11:50.760887+00:00
69522,ipl,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,1,,,141,40,69,20,,2026-04-01T15:56:16.731370+00:00
69523,ipl,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,1,,,226,84,80,58,,2026-04-02T16:06:21.629291+00:00
69524,ipl,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,1,,,209,57,88,63,,2026-04-03T16:17:58.676264+00:00
69525,ipl,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,1,,,162,41,75,45,,2026-04-04T12:02:07.129850+00:00
69526,ipl,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,1,,,210,69,90,50,,2026-04-04T16:06:41.100048+00:00
69527,ipl,Rajiv Gandhi International Cricket Stadium,Sunrisers Hyderabad,Lucknow Super Giants,1,,,156,22,92,40,,2026-04-05T12:04:44.516782+00:00
69528,ipl,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,1,,,250,50,100,96,,2026-04-05T16:06:50.236926+00:00
69530,ipl,Barsapara Cricket Stadium,Rajasthan Royals,Mumbai Indians,1,,,150,89,61,0,,2026-04-07T17:55:11.250089+00:00
69531,ipl,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,1,,,210,68,93,49,,2026-04-08T16:02:27.944632+00:00
69532,ipl,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,1,,,181,55,58,64,,2026-04-09T16:02:17.498813+00:00
69533,ipl,Barsapara Cricket Stadium,Rajasthan Royals,Royal Challengers Bengaluru,1,,,201,56,77,62,,2026-04-10T17:02:19.494241+00:00
69534,ipl,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Sunrisers Hyderabad,1,,,219,104,71,43,,2026-04-11T12:04:58.968393+00:00
