id,collected_at,match_id,competition,venue,home_team,away_team,innings,toss_winner,toss_decision,over_num,score,wickets,run_rate,pp_runs,last_over_runs,phase,striker_sr,striker_runs,bowler_econ,bowler_wickets,actual_innings_total,actual_runs_from_here,actual_pp_total,actual_7_15_total,actual_death_total,label_filled
1,2026-03-29T09:33:52.456888+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,1,11,0,11.0,11,11,powerplay,0.0,0,0.0,0,174,163,45,76,51,1
2,2026-03-29T09:38:53.981317+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,2,21,1,10.5,21,10,powerplay,0.0,0,0.0,0,174,153,45,76,51,1
3,2026-03-29T09:44:42.020843+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,3,23,1,7.67,23,2,powerplay,0.0,0,0.0,0,174,151,45,76,51,1
4,2026-03-29T09:51:06.585399+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,4,27,2,6.75,27,4,powerplay,0.0,0,0.0,0,174,147,45,76,51,1
5,2026-03-29T09:54:35.536991+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,5,30,2,6.0,30,3,powerplay,0.0,0,0.0,0,174,144,45,76,51,1
6,2026-03-29T09:59:28.801012+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,6,41,2,6.83,41,11,powerplay,0.0,0,0.0,0,174,133,45,76,51,1
7,2026-03-29T10:04:00.238648+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,7,50,2,7.14,45,5,middle,0.0,0,0.0,0,174,124,45,76,51,1
8,2026-03-29T10:07:08.430914+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,8,57,2,7.12,45,7,middle,0.0,0,0.0,0,174,117,45,76,51,1
9,2026-03-29T10:10:47.453350+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,9,65,2,7.22,45,8,middle,0.0,0,0.0,0,174,109,45,76,51,1
10,2026-03-29T10:15:52.434773+00:00,69478,psl,Gaddafi Stadium,Hyderabad Kingsmen,Quetta Gladiators,1,,,10,78,2,7.8,45,13,middle,0.0,0,0.0,0,174,96,45,76,51,1
