id,match_id,player,team,overs,runs_conceded,wickets,venue,phase,opposition
13863,336036,Sohail Tanvir,Rajasthan Royals,4.0,15,4,Sawai Mansingh Stadium,full,Mumbai Indians
13864,336036,SR Watson,Rajasthan Royals,3.0,30,0,Sawai Mansingh Stadium,full,Mumbai Indians
13865,336036,Pankaj Singh,Rajasthan Royals,2.0,25,0,Sawai Mansingh Stadium,full,Mumbai Indians
13866,336036,YK Pathan,Rajasthan Royals,3.0,10,0,Sawai Mansingh Stadium,full,Mumbai Indians
13867,336036,SK Trivedi,Rajasthan Royals,4.0,34,2,Sawai Mansingh Stadium,full,Mumbai Indians
13868,336036,SK Warne,Rajasthan Royals,4.0,31,1,Sawai Mansingh Stadium,full,Mumbai Indians
13869,336036,SM Pollock,Mumbai Indians,4.0,26,0,Sawai Mansingh Stadium,full,Rajasthan Royals
13870,336036,A Nehra,Mumbai Indians,3.0,22,0,Sawai Mansingh Stadium,full,Rajasthan Royals
13871,336036,CRD Fernando,Mumbai Indians,4.0,29,2,Sawai Mansingh Stadium,full,Rajasthan Royals
13872,336036,DR Smith,Mumbai Indians,2.0,16,0,Sawai Mansingh Stadium,full,Rajasthan Royals
13873,336036,AM Nayar,Mumbai Indians,1.0,4,0,Sawai Mansingh Stadium,full,Rajasthan Royals
13874,336036,RR Raje,Mumbai Indians,4.0,41,1,Sawai Mansingh Stadium,full,Rajasthan Royals
13875,336036,ST Jayasuriya,Mumbai Indians,2.0,8,0,Sawai Mansingh Stadium,full,Rajasthan Royals
13876,335995,B Lee,Kings XI Punjab,4.0,36,1,"Punjab Cricket Association Stadium, Mohali",full,Delhi Daredevils
13877,335995,IK Pathan,Kings XI Punjab,4.0,27,2,"Punjab Cricket Association Stadium, Mohali",full,Delhi Daredevils
13878,335995,S Sreesanth,Kings XI Punjab,2.0,26,0,"Punjab Cricket Association Stadium, Mohali",full,Delhi Daredevils
13879,335995,VRV Singh,Kings XI Punjab,4.0,29,3,"Punjab Cricket Association Stadium, Mohali",full,Delhi Daredevils
13880,335995,PP Chawla,Kings XI Punjab,4.0,29,0,"Punjab Cricket Association Stadium, Mohali",full,Delhi Daredevils
13881,335995,Yuvraj Singh,Kings XI Punjab,2.0,11,1,"Punjab Cricket Association Stadium, Mohali",full,Delhi Daredevils
13882,335995,GD McGrath,Delhi Daredevils,4.0,31,1,"Punjab Cricket Association Stadium, Mohali",full,Kings XI Punjab
13883,335995,Mohammad Asif,Delhi Daredevils,4.0,40,2,"Punjab Cricket Association Stadium, Mohali",full,Kings XI Punjab
13884,335995,MF Maharoof,Delhi Daredevils,3.0,31,0,"Punjab Cricket Association Stadium, Mohali",full,Kings XI Punjab
13885,335995,VY Mahesh,Delhi Daredevils,4.0,23,1,"Punjab Cricket Association Stadium, Mohali",full,Kings XI Punjab
13886,335995,Shoaib Malik,Delhi Daredevils,3.5,32,1,"Punjab Cricket Association Stadium, Mohali",full,Kings XI Punjab
13887,335995,R Bhatia,Delhi Daredevils,1.0,5,0,"Punjab Cricket Association Stadium, Mohali",full,Kings XI Punjab
13888,1254108,TA Boult,Mumbai Indians,4.0,17,1,Dubai International Cricket Stadium,full,Royal Challengers Bangalore
13889,1254108,JJ Bumrah,Mumbai Indians,4.0,38,3,Dubai International Cricket Stadium,full,Royal Challengers Bangalore
13890,1254108,AF Milne,Mumbai Indians,4.0,49,1,Dubai International Cricket Stadium,full,Royal Challengers Bangalore
13891,1254108,KH Pandya,Mumbai Indians,4.0,28,0,Dubai International Cricket Stadium,full,Royal Challengers Bangalore
13892,1254108,RD Chahar,Mumbai Indians,4.0,33,1,Dubai International Cricket Stadium,full,Royal Challengers Bangalore
13893,1254108,KA Jamieson,Royal Challengers Bangalore,2.0,22,0,Dubai International Cricket Stadium,full,Mumbai Indians
13894,1254108,Mohammed Siraj,Royal Challengers Bangalore,3.0,16,1,Dubai International Cricket Stadium,full,Mumbai Indians
13895,1254108,DT Christian,Royal Challengers Bangalore,2.0,21,0,Dubai International Cricket Stadium,full,Mumbai Indians
13896,1254108,HV Patel,Royal Challengers Bangalore,3.167,18,4,Dubai International Cricket Stadium,full,Mumbai Indians
13897,1254108,YS Chahal,Royal Challengers Bangalore,4.0,11,3,Dubai International Cricket Stadium,full,Mumbai Indians
13898,1254108,GJ Maxwell,Royal Challengers Bangalore,4.0,23,2,Dubai International Cricket Stadium,full,Mumbai Indians
13899,829761,Z Khan,Delhi Daredevils,4.0,34,1,Eden Gardens,full,Kolkata Knight Riders
13900,829761,JA Morkel,Delhi Daredevils,3.0,25,1,Eden Gardens,full,Kolkata Knight Riders
13901,829761,JP Duminy,Delhi Daredevils,1.0,16,0,Eden Gardens,full,Kolkata Knight Riders
13902,829761,A Mishra,Delhi Daredevils,4.0,20,1,Eden Gardens,full,Kolkata Knight Riders
13903,829761,Imran Tahir,Delhi Daredevils,4.0,46,2,Eden Gardens,full,Kolkata Knight Riders
13904,829761,AD Mathews,Delhi Daredevils,2.0,15,0,Eden Gardens,full,Kolkata Knight Riders
13905,829761,Yuvraj Singh,Delhi Daredevils,2.0,15,1,Eden Gardens,full,Kolkata Knight Riders
13906,829761,UT Yadav,Kolkata Knight Riders,4.0,30,0,Eden Gardens,full,Delhi Daredevils
13907,829761,AD Russell,Kolkata Knight Riders,4.0,24,1,Eden Gardens,full,Delhi Daredevils
13908,829761,SP Narine,Kolkata Knight Riders,4.0,31,0,Eden Gardens,full,Delhi Daredevils
13909,829761,PP Chawla,Kolkata Knight Riders,4.0,32,4,Eden Gardens,full,Delhi Daredevils
13910,829761,GB Hogg,Kolkata Knight Riders,3.0,27,1,Eden Gardens,full,Delhi Daredevils
13911,829761,J Botha,Kolkata Knight Riders,1.0,14,0,Eden Gardens,full,Delhi Daredevils
13912,1216521,TA Boult,Mumbai Indians,4.0,18,4,Sharjah Cricket Stadium,full,Chennai Super Kings
13913,1216521,JJ Bumrah,Mumbai Indians,4.0,26,2,Sharjah Cricket Stadium,full,Chennai Super Kings
13914,1216521,KH Pandya,Mumbai Indians,3.0,16,0,Sharjah Cricket Stadium,full,Chennai Super Kings
13915,1216521,RD Chahar,Mumbai Indians,4.0,25,2,Sharjah Cricket Stadium,full,Chennai Super Kings
13916,1216521,NM Coulter-Nile,Mumbai Indians,4.0,25,1,Sharjah Cricket Stadium,full,Chennai Super Kings
13917,1216521,KA Pollard,Mumbai Indians,1.0,4,0,Sharjah Cricket Stadium,full,Chennai Super Kings
13918,1216521,DL Chahar,Chennai Super Kings,4.0,34,0,Sharjah Cricket Stadium,full,Mumbai Indians
13919,1216521,JR Hazlewood,Chennai Super Kings,2.0,17,0,Sharjah Cricket Stadium,full,Mumbai Indians
13920,1216521,Imran Tahir,Chennai Super Kings,3.0,24,0,Sharjah Cricket Stadium,full,Mumbai Indians
13921,1216521,SN Thakur,Chennai Super Kings,2.333,26,0,Sharjah Cricket Stadium,full,Mumbai Indians
13922,1216521,RA Jadeja,Chennai Super Kings,1.0,15,0,Sharjah Cricket Stadium,full,Mumbai Indians
13923,733977,MA Starc,Royal Challengers Bangalore,4.0,23,2,M Chinnaswamy Stadium,full,Sunrisers Hyderabad
13924,733977,AB Dinda,Royal Challengers Bangalore,4.0,39,1,M Chinnaswamy Stadium,full,Sunrisers Hyderabad
13925,733977,VR Aaron,Royal Challengers Bangalore,4.0,33,2,M Chinnaswamy Stadium,full,Sunrisers Hyderabad
13926,733977,HV Patel,Royal Challengers Bangalore,4.0,30,1,M Chinnaswamy Stadium,full,Sunrisers Hyderabad
13927,733977,YS Chahal,Royal Challengers Bangalore,4.0,30,0,M Chinnaswamy Stadium,full,Sunrisers Hyderabad
13928,733977,DW Steyn,Sunrisers Hyderabad,4.0,40,0,M Chinnaswamy Stadium,full,Royal Challengers Bangalore
13929,733977,B Kumar,Sunrisers Hyderabad,4.0,16,2,M Chinnaswamy Stadium,full,Royal Challengers Bangalore
13930,733977,I Sharma,Sunrisers Hyderabad,3.0,35,0,M Chinnaswamy Stadium,full,Royal Challengers Bangalore
13931,733977,KV Sharma,Sunrisers Hyderabad,4.0,17,3,M Chinnaswamy Stadium,full,Royal Challengers Bangalore
13932,733977,IK Pathan,Sunrisers Hyderabad,2.833,25,0,M Chinnaswamy Stadium,full,Royal Challengers Bangalore
13933,733977,DJG Sammy,Sunrisers Hyderabad,2.0,25,0,M Chinnaswamy Stadium,full,Royal Challengers Bangalore
13934,1175372,M Prasidh Krishna,Kolkata Knight Riders,3.0,42,0,M.Chinnaswamy Stadium,full,Royal Challengers Bangalore
13935,1175372,PP Chawla,Kolkata Knight Riders,4.0,32,0,M.Chinnaswamy Stadium,full,Royal Challengers Bangalore
13936,1175372,SP Narine,Kolkata Knight Riders,4.0,30,1,M.Chinnaswamy Stadium,full,Royal Challengers Bangalore
