match_id,venue,team1,team2,first_innings_total,second_innings_total,powerplay_runs_1st,powerplay_runs_2nd,middle_runs_1st,middle_runs_2nd,death_runs_1st,death_runs_2nd,toss_winner,toss_decision,winner
335982,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,222,82,61,26,93,55,68,1,Royal Challengers Bangalore,field,Kolkata Knight Riders
335983,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,240,207,53,63,108,102,79,42,Chennai Super Kings,bat,Chennai Super Kings
335984,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,129,132,40,55,56,73,33,4,Rajasthan Royals,bat,Delhi Daredevils
335985,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,165,166,47,40,58,78,60,48,Mumbai Indians,bat,Royal Challengers Bangalore
335986,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,110,112,39,26,38,55,33,31,Deccan Chargers,bat,Kolkata Knight Riders
335987,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,166,168,54,53,61,89,51,26,Kings XI Punjab,bat,Rajasthan Royals
335988,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,142,143,25,48,48,95,69,0,Deccan Chargers,bat,Delhi Daredevils
335989,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,208,202,53,52,90,82,65,68,Mumbai Indians,field,Chennai Super Kings
335990,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,214,217,58,73,90,86,66,58,Rajasthan Royals,field,Rajasthan Royals
335991,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,182,116,60,39,78,62,44,15,Mumbai Indians,field,Kings XI Punjab
335992,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,135,138,57,45,38,76,40,17,Rajasthan Royals,field,Rajasthan Royals
335993,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,147,152,61,45,43,76,43,31,Kolkata Knight Riders,bat,Chennai Super Kings
335994,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,154,155,27,60,72,95,55,0,Deccan Chargers,field,Deccan Chargers
335995,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,158,162,45,55,62,68,51,39,Delhi Daredevils,bat,Kings XI Punjab
335996,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,178,165,36,45,66,87,76,33,Chennai Super Kings,bat,Chennai Super Kings
335997,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,137,138,40,38,47,72,50,28,Kolkata Knight Riders,bat,Mumbai Indians
335998,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,191,181,58,55,93,79,40,47,Royal Challengers Bangalore,field,Delhi Daredevils
335999,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,164,167,50,41,61,88,53,38,Kings XI Punjab,field,Kings XI Punjab
336000,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,196,151,45,51,97,77,54,23,Rajasthan Royals,bat,Rajasthan Royals
336001,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,169,172,47,64,79,78,43,30,Chennai Super Kings,bat,Delhi Daredevils
336002,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,165,171,41,43,82,63,42,65,Deccan Chargers,bat,Royal Challengers Bangalore
336003,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,178,169,49,31,70,70,59,68,Kings XI Punjab,bat,Kings XI Punjab
336004,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,162,133,50,37,62,77,50,19,Delhi Daredevils,field,Mumbai Indians
336005,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,109,110,38,44,53,66,18,0,Chennai Super Kings,bat,Rajasthan Royals
336006,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,126,127,26,52,71,57,29,18,Kings XI Punjab,field,Kings XI Punjab
336007,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,144,148,34,50,52,65,58,33,Deccan Chargers,field,Deccan Chargers
336008,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,103,104,48,34,54,68,1,2,Mumbai Indians,field,Mumbai Indians
336009,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,187,188,50,62,83,80,54,46,Chennai Super Kings,field,Chennai Super Kings
336010,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,129,124,41,35,74,76,14,13,Kolkata Knight Riders,bat,Kolkata Knight Riders
336011,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,140,141,50,50,53,79,37,12,Rajasthan Royals,field,Rajasthan Royals
336012,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,122,126,36,39,56,78,30,9,Mumbai Indians,field,Mumbai Indians
