id,fixture_id,innings,player,team,runs,balls,fours,sixes,strike_rate,position
1,69522,1,Mitchell Marsh,Lucknow Super Giants,35,28,2,3,125.0,1
2,69522,1,Rishabh Pant,Lucknow Super Giants,7,9,1,0,77.78,2
3,69522,1,Aiden Markram,Lucknow Super Giants,11,8,1,1,137.5,3
4,69522,1,Ayush Badoni,Lucknow Super Giants,0,3,0,0,0.0,4
5,69522,1,Nicholas Pooran,Lucknow Super Giants,8,8,1,0,100.0,5
6,69522,1,Abdul Samad,Lucknow Super Giants,36,25,3,1,144.0,6
7,69522,1,Mukul Choudhary,Lucknow Super Giants,14,11,2,0,127.27,7
8,69522,1,Shahbaz Ahmed,Lucknow Super Giants,15,16,1,0,93.75,8
9,69522,1,Mohammed Shami,Lucknow Super Giants,1,2,0,0,50.0,9
10,69522,1,Anrich Nortje,Lucknow Super Giants,0,1,0,0,0.0,10
11,69522,1,Mohsin Khan,Lucknow Super Giants,0,1,0,0,0.0,11
12,69522,2,KL Rahul,Delhi Capitals,0,1,0,0,0.0,1
13,69522,2,Pathum Nissanka,Delhi Capitals,1,5,0,0,20.0,2
14,69522,2,Nitish Rana,Delhi Capitals,15,17,2,1,88.24,3
15,69522,2,Sameer Rizvi,Delhi Capitals,70,47,5,4,148.94,4
16,69522,2,Axar Patel,Delhi Capitals,0,1,0,0,0.0,5
17,69522,2,Tristan Stubbs,Delhi Capitals,39,32,3,1,121.88,6
18,69523,1,Travis Head,Sunrisers Hyderabad,46,21,6,3,219.05,1
19,69523,1,Abhishek Sharma,Sunrisers Hyderabad,48,21,4,4,228.57,2
20,69523,1,Ishan Kishan,Sunrisers Hyderabad,14,9,3,0,155.56,3
21,69523,1,Heinrich Klaasen,Sunrisers Hyderabad,52,35,4,1,148.57,4
22,69523,1,Aniket Verma,Sunrisers Hyderabad,1,4,0,0,25.0,5
23,69523,1,Nitish Kumar Reddy,Sunrisers Hyderabad,39,24,4,1,162.5,6
24,69523,1,Salil Arora,Sunrisers Hyderabad,0,1,0,0,0.0,7
25,69523,1,Harsh Dubey,Sunrisers Hyderabad,9,3,2,0,300.0,8
26,69523,1,Shivang Kumar,Sunrisers Hyderabad,4,2,1,0,200.0,9
27,69523,2,Ajinkya Rahane,Kolkata Knight Riders,8,10,0,0,80.0,1
28,69523,2,Finn Allen,Kolkata Knight Riders,28,7,4,2,400.0,2
29,69523,2,Angkrish Raghuvanshi,Kolkata Knight Riders,52,29,6,2,179.31,3
30,69523,2,Cameron Green,Kolkata Knight Riders,2,2,0,0,100.0,4
31,69523,2,Rinku Singh,Kolkata Knight Riders,35,25,4,1,140.0,5
32,69523,2,Anukul Roy,Kolkata Knight Riders,0,2,0,0,0.0,6
33,69523,2,Ramandeep Singh,Kolkata Knight Riders,10,9,1,0,111.11,7
34,69523,2,Sunil Narine,Kolkata Knight Riders,12,4,0,2,300.0,8
35,69523,2,Kartik Tyagi,Kolkata Knight Riders,5,5,1,0,100.0,9
36,69523,2,Vaibhav Arora,Kolkata Knight Riders,1,2,0,0,50.0,10
37,69523,2,Varun Chakaravarthy,Kolkata Knight Riders,0,1,0,0,0.0,11
38,69524,1,Sanju Samson,Chennai Super Kings,7,7,1,0,100.0,1
39,69524,1,Ruturaj Gaikwad,Chennai Super Kings,28,22,2,0,127.27,2
40,69524,1,Ayush Mhatre,Chennai Super Kings,73,43,6,5,169.77,3
41,69524,1,Shivam Dube,Chennai Super Kings,45,27,5,1,166.67,4
42,69524,1,Kartik Sharma,Chennai Super Kings,1,3,0,0,33.33,5
43,69524,1,Sarfaraz Khan,Chennai Super Kings,32,12,6,1,266.67,6
44,69524,1,Prashant Veer,Chennai Super Kings,6,7,1,0,85.71,7
45,69524,2,Priyansh Arya,Punjab Kings,39,11,3,4,354.55,1
46,69524,2,Prabhsimran Singh,Punjab Kings,43,34,6,1,126.47,2
47,69524,2,Cooper Connolly,Punjab Kings,36,22,6,0,163.64,3
48,69524,2,Shreyas Iyer,Punjab Kings,50,29,4,3,172.41,4
49,69524,2,Nehal Wadhera,Punjab Kings,10,9,0,1,111.11,5
